GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core,org.owasp.dependencycheck.data.central,CentralSearch,105,348,13,27,27,74,12,13,0,5
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCache,0,17,0,0,0,6,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCacheFactory,70,160,8,8,21,42,5,8,0,5
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCacheFactory.CacheType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd.api,DownloadTask,89,0,2,0,22,0,5,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd.api,NvdApiProcessor,75,71,3,3,15,20,4,5,1,5
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd.api,JsonArrayCveItemSource,24,62,4,6,6,18,5,5,1,4
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd.api,CveApiJson20CveItemSource,105,0,14,0,22,0,12,0,5,0
Dependency-Check Core,org.owasp.dependencycheck.dependency,VulnerableSoftware,202,650,40,102,43,138,38,52,2,15
Dependency-Check Core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,64,0,0,0,7,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,CweSet,0,61,1,3,0,14,1,9,0,8
Dependency-Check Core,org.owasp.dependencycheck.dependency,Vulnerability,114,285,11,15,29,85,15,38,6,34
Dependency-Check Core,org.owasp.dependencycheck.dependency,IncludedByReference,15,0,0,0,6,0,3,0,3,0
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,VulnerableSoftwareBuilder,132,166,0,0,25,41,20,21,20,21
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection,113,371,26,32,29,89,24,30,1,17
Dependency-Check Core,org.owasp.dependencycheck.dependency,Evidence,47,199,13,17,14,38,19,13,6,11
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,Dependency,139,900,21,65,34,248,26,92,6,69
Dependency-Check Core,org.owasp.dependencycheck.dependency,Reference,43,72,6,0,11,26,5,10,2,10
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerException,7,5,0,0,4,2,2,1,2,1
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerDependency,20,53,3,3,7,16,4,5,1,5
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerLockParser,22,185,6,14,6,41,6,9,0,5
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,Model,1,206,3,7,1,61,3,31,0,29
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomHandler,0,296,10,47,0,72,10,32,0,5
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,License,23,52,3,3,7,19,5,7,2,7
