GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,ArtifactScopeExcluded,18,47,10,12,3,14,7,6,0,2
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,CheckMojo,1,44,2,2,1,12,2,5,0,5
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,AggregateMojo,134,358,34,56,25,68,29,28,4,8
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,Mshared998Util,0,30,1,3,0,7,1,2,0,1
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,PurgeMojo,32,0,0,0,10,0,6,0,6,0
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,Mshared998Util.M31ArtifactResult,0,11,0,0,0,4,0,2,0,2
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,ArtifactTypeExcluded,0,22,0,6,0,4,0,5,0,2
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,FilteringDependencyTransitiveNodeVisitor,10,35,2,2,4,10,4,3,2,3
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,Retirejs,0,9,0,0,0,3,0,3,0,3
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,UpdateMojo,63,21,7,1,19,7,8,2,4,2
Dependency-Check Maven Plugin,org.owasp.dependencycheck.maven,BaseDependencyCheckMojo,1389,2473,249,149,283,492,177,79,11,46
Dependency-Check Maven Plugin,org.owasp.dependency_check_maven,HelpMojo,863,0,110,0,155,0,71,0,16,0
