GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Utils,org.owasp.dependencycheck.utils.search,FileContentSearch,0,74,0,6,0,10,0,6,0,3
Dependency-Check Utils,org.owasp.dependencycheck.utils,FileUtils,110,68,15,7,30,18,13,6,3,5
Dependency-Check Utils,org.owasp.dependencycheck.utils,JsonArrayFixingInputStream,17,382,13,51,3,78,12,34,0,14
Dependency-Check Utils,org.owasp.dependencycheck.utils,HttpResourceConnection,508,215,42,20,96,61,30,14,1,12
Dependency-Check Utils,org.owasp.dependencycheck.utils,Settings,482,436,57,41,108,104,55,38,14,30
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,239,181,9,7,58,45,18,8,11,7
Dependency-Check Utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,7,0,5,0,2,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory,270,97,47,7,59,29,27,8,2,6
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader,120,55,3,1,25,16,6,4,4,4
Dependency-Check Utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Checksum,64,152,6,10,19,30,10,12,4,8
Dependency-Check Utils,org.owasp.dependencycheck.utils,XmlUtils,209,0,19,0,50,0,15,0,5,0
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,Processor,38,0,4,0,12,0,7,0,5,0
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,ProcessReader.Gobbler,30,0,2,0,12,0,5,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,ProcessReader,139,0,14,0,39,0,15,0,8,0
